
(D) Valid height (cm),Age group,,,,,,,,,,,
,16,25,35,45,55,65,75,Total,,,,
Men,,,,,,,,,,,,
Mean ,176.9,178.6,176.7,176.1,174.4,173.0,169.9,175.5,,,,
Median,176.6,179.0,177.1,176.2,174.2,173.3,170.4,175.4,,,,
Women,,,,,,,,,,,,
Mean ,163.5,163.3,163.2,162.3,161.6,159.4,155.9,161.7,,,,
Median,163.4,163.2,163.0,162.4,161.8,159.5,156.2,161.9,,,,
All adults,,,,,,,,,,,,
Mean ,170.3,170.5,169.7,169.1,167.8,166.0,162.2,168.4,,,,
Median,170.1,170.0,169.0,168.6,167.4,165.6,162.1,168.0,,,,
Unweighted bases,,,,,,,,,,,,
Men ,270,357,519,528,533,500,352,3059,,,,
Women ,351,572,690,667,623,550,393,3846,,,,
All adults ,621,929,1209,1195,1156,1050,745,6905,,,,
Weighted bases,,,,,,,,,,,,
Men ,474,551,550,581,517,417,276,3366,,,,
Women ,460,611,584,602,550,439,337,3584,,,,
All adults ,935,1162,1134,1182,1067,856,613,6949,,,,
